Mã ytcp,Sản phẩm,Tên sản phẩm,Hệ số,
622RO,SPH0397012900,"Lõi Lọc CERAMIC, 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.04,
622RO,SPH0397013000,"Lõi lọc ORP, 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.04,
622RO,SPH0397013100,"Lõi lọc ALKALINE, 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.04,
622RO,SPH0397013200,"Lõi lọc MINERAL, 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.04,
622RO,SPH0397013300,"Lõi lọc (5 IN 1), 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.04,
622RO,SPH0397013400,"Lõi lọc NANO SILVER, 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.04,
622RO,SPH0397013600,"Lõi Lọc CERAMIC, 2 đầu, thân trắng, nắp trắng nối nhanh(XB)",0.06,
622RO,SPH0397013700,"Lõi lọc ORP, 2 đầu, thân trắng, nắp trắng nối nhanh (XB)",0.06,
622RO,SPH0397013800,"Lõi lọc ALKALINE, 2 đầu, thân trắng, nắp trắng nối nhanh(XB)",0.06,
622RO,SPH0397013900,"Lõi lọc MINERAL, 2 đầu, thân trắng, nắp trắng nối nhanh(XB)",0.06,
622RO,SPH0397014000,"Lõi lọc (5 IN 1), 2 đầu, thân trắng, nắp trắng nối nhanh(XB)",0.06,
622RO,SPH0397014100,"Lõi lọc NANO SILVER, 2 đầu, thân trắng, nắp trắng nối nhanh(XB)",0.06,
622RO,SPH0397014200,"Lõi Lọc CERAMIC, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.04,
622RO,SPH0397014300,"Lõi lọc ORP, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.04,
622RO,SPH0397014400,"Lõi lọc ALKALINE, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.04,
622RO,SPH0397014500,"Lõi lọc MINERAL, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.04,
622RO,SPH0397014700,"Lõi lọc NANO SILVER, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.04,
622RO,SPH0397014800,"Lõi Lọc CERAMIC, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh(XB)",0.06,
622RO,SPH0397014900,"Lõi lọc ORP, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh(XB)",0.06,
622RO,SPH0397015000,"Lõi lọc ALKALINE, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh(XB)",0.06,
622RO,SPH0397015100,"Lõi lọc MINERAL, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh(XB)",0.06,
622RO,SPH0397015300,"Lõi lọc NANO SILVER, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh(XB)",0.06,
622RO,SPH0397016800,"Lõi lọc ALKALINE, 2 đầu, thân mầu xanh cốm, nắp mầu xanh cốm nối nhanh (SX)",0.04,
622RO,SPH0397017400,"Lõi lọc ALKALINE, 2 đầu, thân mầu xanh cốm, nắp mầu xanh cốm nối nhanh(XB)",0.06,
622RO,SPH0397018100,"Lõi lọc MINERAL, 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(xuất cho SX)",0.04,
622RO,SPH0397018200,"Lõi lọc (5 IN 1), 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(xuất cho SX)",0.04,
622RO,SPH0397018700,"Lõi lọc MINERAL, 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(XB)",0.06,
622RO,SPH0397018800,"Lõi lọc (5 IN 1), 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(XB)",0.06,
622RO,SPH0397020200,"Lõi Lọc CERAMIC, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(SX)",0.04,
622RO,SPH0397020300,"Lõi lọc ORP, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(xuất cho SX)",0.04,
622RO,SPH0397020400,"Lõi lọc ALKALINE, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(xuất cho SX)",0.04,
622RO,SPH0397020600,"Lõi lọc (5 IN 1), 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(xuất cho SX)",0.04,
622RO,SPH0397020700,"Lõi lọc NANO SILVER, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(SX)",0.06,
622RO,SPH0397020800,"Lõi Lọc CERAMIC, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(XB)",0.06,
622RO,SPH0397021300,"Lõi lọc NANO SILVER, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(XB)",0.06,
622RO,SPH0397024700,Đỉnh tủ VTU KG100HC màu đen,0.02,
622RO,SPH0398000100,Lõi số 5 FIR Hydrogen (KG18BLUE),0.04,
622RO,SPH0398000200,Lõi lọc số 6 OrpH Hydrogen (KG18BLUE),0.04,
622RO,SPH0398000300,Lõi lọc số 7 HypH Hydrogen (KG18BLUE),0.04,
622RO,SPH0398000400,Lõi số 8 Mineral Hydrogen (KG18BLUE),0.04,
622RO,SPH0398000500,Lõi lọc số 9 (5 in 1 Omega-SX) (KG18BLUE),0.04,
622RO,SPH0398000600,Lõi lọc số 10 Nano Carbon Hydrogen (KG18BLUE),0.04,
622TD,SPW4410302400,Lòng trong KG399DM1,1.022,
622TD,SPW4410302500,Thân tủ KG399DM1,1.022,
622TD,SPW4410302600,Lắp ghép Máy nén - Phụ kiện KG399DM1,1.022,
622INOX,SPW4410801500,Hồi phải 298TH007 chưa sơn,0.3,
622INOX,SPW4410801600,Hồi trái 298TH006 chưa sơn,0.3,
622TD,SPW4410803300,Lòng trong KG328DM2,1.022,
622TD,SPW4410803400,Thân tủ KG328DM2,1.022,
622TD,SPW4410803500,Lắp ghép Máy nén-Phụ kiện KG328DM2,1.044,
622INOX,SPW4411303000,Vỏ cánh 168 chưa sơn,0.023,
622INOX,SPW4411303200,Vách trước KG168 chưa sơn,0.083,
622INOX,SPW4411303400,Vách sau KG168 chưa sơn,0.092,
622INOX,SPW4411303600,Hồi trái 168 chưa sơn,0.013,
622INOX,SPW4411303800,Hồi phải 168 chưa sơn,0.01,
622INOX,SPW4411900500,Vách sau KG398C2 chưa sơn,0.5,
622INOX,SPW4416000500,Vách sau KG298C2 chưa sơn,0.3,
622TD,SPW4482002100,Lòng trong KG320IC2,0.926,
622TD,SPW4482002200,Thân tủ KG320IC2,0.926,
622TD,SPW4482002300,Lắp ghép Máy nén-Phụ kiện KG320IC2,0.926,
622TD,SPW4482002400,Đóng gói KG320IC2,0.926,
622TD,SPW4484000400,Cánh 01 KG400IC2,0.93,
622TD,SPW4484000500,Thân tủ KG400IC2,0.926,
622TD,SPW4484000600,Lắp ghép Máy nén-Phụ kiện KG400IC2,0.926,
622TD,SPW4484000700,Đóng gói KG400IC2,0.926,
622TD,SPW4487001900,Lòng trong KG400NC2,0.926,
622INOX,SPW4493002700,Vỏ cánh 235 chưa sơn,0.023,
622TD,SPW4493004400,Lòng trong KG265NC1,1.175,
622TD,SPW4493004500,Cánh 03 KG265NC1,0.89,
622TD,SPW4493004600,Thân tủ KG265NC1,1.894,
622TD,SPW4493004700,Lắp ghép Máy nén-Phụ kiện KG265NC1,0.89,
622TD,SPW4493004800,Đóng gói KG265NC1,0.89,
622INOX,SPW4493005500,Vách trước 265 chưa sơn,0.4,
622INOX,SPW4493005600,Vách sau 265 chưa sơn,0.4,
622INOX,SPW4493005700,Hồi trái 265 chưa sơn,0.15,
622INOX,SPW4493005800,Hồi phải 265 chưa sơn,0.15,
622TD,SPW4495001900,Lòng trong KG266NC2,0.89,
622TD,SPW4495002000,Cánh 04 KG266NC2,0.89,
622TD,SPW4495002100,Thân tủ KG266NC2,0.89,
622TD,SPW4495002200,Lắp ghép Máy nén-Phụ kiện KG266NC2,0.89,
622TD,SPW4496003300,Đóng gói KG328NC2,0.89,
622TD,SPW4497001300,Lòng trong KG329NC1,1.175,
622TD,SPW4497001500,Thân tủ KG329NC1,0.719,
622TD,SPW4497001600,Lắp ghép Máy nén-Phụ kiện KG329NC1,1.535,
622TD,SPW4497001700,Đóng gói KG329NC1,1.16,
,KGE05000100,,0.78,
,KGE18005700,,4.38,
,KGE18005800,,4.38,
,KGE18006000,,4.38,
,KGE18005900,,4.38,
